Month,Location,number of visitors
2008/1,中國,374
2008/2,中國,"14,537"
2008/3,中國,0
2008/4,中國,"2,370"
2008/5,中國,37
2008/6,中國,"2,999"
2008/7,中國,"21,949"
2008/8,中國,"28,335"
2008/9,中國,"25,663"
2008/10,中國,"26,310"
2008/11,中國,"22,575"
2008/12,中國,"43,595"
2009/1,中國,"62,464"
2009/2,中國,"77,591"
2009/3,中國,"70,080"
2009/4,中國,"118,464"
2009/5,中國,"116,050"
2009/6,中國,"113,513"
2009/7,中國,"141,198"
2009/8,中國,"134,944"
2009/9,中國,"155,012"
2009/10,中國,"196,436"
2009/11,中國,"170,981"
2009/12,中國,"159,354"
2010/1,中國,"158,962"
2010/2,中國,"187,503"
2010/3,中國,"178,792"
2010/4,中國,"183,895"
2010/5,中國,"194,184"
2010/6,中國,"206,639"
2010/7,中國,"245,672"
2010/8,中國,"230,310"
2010/9,中國,"211,806"
2010/10,中國,"221,683"
2010/11,中國,"202,693"
2010/12,中國,"202,103"
2011/1,中國,"167,085"
2011/2,中國,"236,262"
2011/3,中國,"210,319"
2011/4,中國,"233,533"
2011/5,中國,"249,428"
2011/6,中國,"248,982"
2011/7,中國,"278,164"
2011/8,中國,"255,751"
2011/9,中國,"247,501"
2011/10,中國,"261,650"
2011/11,中國,"242,208"
2011/12,中國,"215,689"
2012/1,中國,"258,728"
2012/2,中國,"248,837"
2012/3,中國,"236,894"
2012/4,中國,"266,709"
2012/5,中國,"272,775"
2012/6,中國,"268,283"
2012/7,中國,"296,306"
2012/8,中國,"271,159"
2012/9,中國,"247,490"
2012/10,中國,"292,306"
2012/11,中國,"250,231"
2012/12,中國,"229,337"
2013/1,中國,"206,418"
2013/2,中國,"263,527"
2013/3,中國,"244,035"
2013/4,中國,"246,156"
2013/5,中國,"230,912"
2013/6,中國,"247,929"
2013/7,中國,"284,747"
2013/8,中國,"283,375"
2013/9,中國,"271,078"
2013/10,中國,"300,871"
2013/11,中國,"258,093"
2013/12,中國,"235,186"
2014/1,中國,"198,382"
2014/2,中國,"279,792"
2014/3,中國,"241,546"
2014/4,中國,"275,713"
2014/5,中國,"282,707"
2014/6,中國,"302,067"
2014/7,中國,"312,254"
2014/8,中國,"296,364"
2014/9,中國,"269,049"
2014/10,中國,"302,986"
2014/11,中國,"248,285"
2014/12,中國,"258,093"
2015/1,中國,"240,112"
2015/2,中國,"230,305"
2015/3,中國,"297,043"
2015/4,中國,"295,645"
2015/5,中國,"297,885"
2015/6,中國,"294,294"
2015/7,中國,"315,481"
2015/8,中國,"299,750"
2015/9,中國,"271,600"
2015/10,中國,"318,599"
2015/11,中國,"286,248"
2015/12,中國,"256,958"
2016/1,中國,"241,113"
2016/2,中國,"298,798"
2016/3,中國,"270,766"
2016/4,中國,"306,441"
2016/5,中國,"315,102"
2016/6,中國,"321,257"
2016/7,中國,"346,297"
2016/8,中國,"331,005"
2016/9,中國,"312,406"
2016/10,中國,"345,004"
2016/11,中國,"312,770"
2016/12,中國,"284,518"
2017/1,中國,"244,084"
2017/2,中國,"328,059"
2017/3,中國,"306,038"
2017/4,中國,"341,117"
2017/5,中國,"348,528"
2017/6,中國,"353,085"
2017/7,中國,"362,466"
2017/8,中國,"347,289"
2017/9,中國,"302,646"
2017/10,中國,"363,094"
