Location,Month,number of visitors
香港,2008/1,"216,776"
香港,2008/2,"259,884"
香港,2008/3,"228,301"
香港,2008/4,"258,031"
香港,2008/5,"255,719"
香港,2008/6,"251,685"
香港,2008/7,"274,405"
香港,2008/8,"250,006"
香港,2008/9,"220,795"
香港,2008/10,"253,255"
香港,2008/11,"199,105"
香港,2008/12,"183,208"
香港,2009/1,"175,264"
香港,2009/2,"201,180"
香港,2009/3,"177,558"
香港,2009/4,"209,572"
香港,2009/5,"188,605"
香港,2009/6,"171,663"
香港,2009/7,"225,279"
香港,2009/8,"236,981"
香港,2009/9,"151,704"
香港,2009/10,"187,493"
香港,2009/11,"162,237"
香港,2009/12,"173,465"
香港,2010/1,"180,195"
香港,2010/2,"212,642"
香港,2010/3,"177,922"
香港,2010/4,"191,960"
香港,2010/5,"199,976"
香港,2010/6,"202,330"
香港,2010/7,"233,849"
香港,2010/8,"214,189"
香港,2010/9,"182,089"
香港,2010/10,"192,302"
香港,2010/11,"155,861"
香港,2010/12,"165,318"
中國大陸,2008/1,374
中國大陸,2008/2,"14,537"
中國大陸,2008/3,0
中國大陸,2008/4,"2,370"
中國大陸,2008/5,37
中國大陸,2008/6,"2,999"
中國大陸,2008/7,"21,949"
中國大陸,2008/8,"28,335"
中國大陸,2008/9,"25,663"
中國大陸,2008/10,"26,310"
中國大陸,2008/11,"22,575"
中國大陸,2008/12,"43,595"
中國大陸,2009/1,"62,464"
中國大陸,2009/2,"77,591"
中國大陸,2009/3,"70,080"
中國大陸,2009/4,"118,464"
中國大陸,2009/5,"116,050"
中國大陸,2009/6,"113,513"
中國大陸,2009/7,"141,198"
中國大陸,2009/8,"134,944"
中國大陸,2009/9,"155,012"
中國大陸,2009/10,"196,436"
中國大陸,2009/11,"170,981"
中國大陸,2009/12,"159,354"
中國大陸,2010/1,"158,962"
中國大陸,2010/2,"187,503"
中國大陸,2010/3,"178,792"
中國大陸,2010/4,"183,895"
中國大陸,2010/5,"194,184"
中國大陸,2010/6,"206,639"
中國大陸,2010/7,"245,672"
中國大陸,2010/8,"230,310"
中國大陸,2010/9,"211,806"
中國大陸,2010/10,"221,683"
中國大陸,2010/11,"202,693"
中國大陸,2010/12,"202,103"
澳門,2008/1,"69,871"
澳門,2008/2,"95,056"
澳門,2008/3,"85,057"
澳門,2008/4,"99,568"
澳門,2008/5,"85,157"
澳門,2008/6,"78,382"
澳門,2008/7,"77,167"
澳門,2008/8,"73,604"
澳門,2008/9,"65,419"
澳門,2008/10,"75,957"
澳門,2008/11,"61,787"
澳門,2008/12,"59,568"
澳門,2009/1,"53,111"
澳門,2009/2,"64,553"
澳門,2009/3,"69,527"
澳門,2009/4,"70,257"
澳門,2009/5,"55,422"
澳門,2009/6,"52,098"
澳門,2009/7,"68,932"
澳門,2009/8,"70,430"
澳門,2009/9,"51,663"
澳門,2009/10,"62,155"
澳門,2009/11,"61,226"
澳門,2009/12,"59,889"
澳門,2010/1,"58,339"
澳門,2010/2,"56,416"
澳門,2010/3,"60,801"
澳門,2010/4,"59,552"
澳門,2010/5,"55,260"
澳門,2010/6,"57,289"
澳門,2010/7,"61,573"
澳門,2010/8,"56,882"
澳門,2010/9,"51,637"
澳門,2010/10,"51,773"
澳門,2010/11,"47,571"
澳門,2010/12,"50,817"
日本,2008/1,"104,753"
日本,2008/2,"110,058"
日本,2008/3,"92,266"
日本,2008/4,"129,430"
日本,2008/5,"124,440"
日本,2008/6,"119,692"
日本,2008/7,"143,940"
日本,2008/8,"110,875"
日本,2008/9,"93,112"
日本,2008/10,"117,002"
日本,2008/11,"91,480"
日本,2008/12,"72,799"
日本,2009/1,"105,882"
日本,2009/2,"64,257"
日本,2009/3,"80,235"
日本,2009/4,"96,453"
日本,2009/5,"80,382"
日本,2009/6,"75,108"
日本,2009/7,"129,299"
日本,2009/8,"130,359"
日本,2009/9,"87,727"
日本,2009/10,"101,227"
日本,2009/11,"85,265"
日本,2009/12,"77,663"
日本,2010/1,"92,832"
日本,2010/2,"107,985"
日本,2010/3,"91,243"
日本,2010/4,"112,939"
日本,2010/5,"124,151"
日本,2010/6,"126,779"
日本,2010/7,"165,949"
日本,2010/8,"132,060"
日本,2010/9,"117,009"
日本,2010/10,"120,290"
日本,2010/11,"97,209"
日本,2010/12,"89,511"
韓國,2008/1,"42,596"
韓國,2008/2,"43,280"
韓國,2008/3,"35,240"
韓國,2008/4,"37,234"
韓國,2008/5,"27,733"
韓國,2008/6,"25,349"
韓國,2008/7,"31,254"
韓國,2008/8,"24,702"
韓國,2008/9,"19,618"
韓國,2008/10,"25,598"
韓國,2008/11,"21,811"
韓國,2008/12,"28,707"
韓國,2009/1,"38,172"
韓國,2009/2,"31,002"
韓國,2009/3,"27,854"
韓國,2009/4,"41,274"
韓國,2009/5,"34,115"
韓國,2009/6,"27,795"
韓國,2009/7,"35,420"
韓國,2009/8,"40,131"
韓國,2009/9,"23,423"
韓國,2009/10,"32,726"
韓國,2009/11,"27,506"
韓國,2009/12,"29,388"
韓國,2010/1,"36,008"
韓國,2010/2,"38,938"
韓國,2010/3,"27,860"
韓國,2010/4,"33,407"
韓國,2010/5,"33,033"
韓國,2010/6,"33,480"
韓國,2010/7,"36,160"
韓國,2010/8,"38,729"
韓國,2010/9,"32,058"
韓國,2010/10,"38,939"
韓國,2010/11,"33,968"
韓國,2010/12,"23,710"
