Year,,Month,Location,number of visitors,,,,,,,,,,,,,小計
101 (2012),101/01,2012/1,香港,"172,687",,,,,,,,,,,,,"861,148"
101 (2012),101/02,2012/2,香港,"162,344",,,,,,,,,,,,,"737,944"
101 (2012),101/03,2012/3,香港,"140,015",,,,,,,,,,,,,"689,111"
101 (2012),101/04,2012/4,香港,"165,907",,,,,,,,,,,,,"817,365"
101 (2012),101/05,2012/5,香港,"162,217",,,,,,,,,,,,,"812,881"
101 (2012),101/06,2012/6,香港,"182,643",,,,,,,,,,,,,"865,673"
101 (2012),101/07,2012/7,香港,"199,490",,,,,,,,,,,,,"995,692"
101 (2012),101/08,2012/8,香港,"185,595",,,,,,,,,,,,,"893,250"
101 (2012),101/09,2012/9,香港,"157,013",,,,,,,,,,,,,"781,515"
101 (2012),101/10,2012/10,香港,"181,475",,,,,,,,,,,,,"875,692"
101 (2012),101/11,2012/11,香港,"149,827",,,,,,,,,,,,,"749,622"
101 (2012),101/12,2012/12,香港,"161,999",,,,,,,,,,,,,"730,233"
102 (2013),102/01,2013/1,香港,"153,216",,,,,,,,,,,,,"729,072"
102 (2013),102/02,2013/2,香港,"200,670",,,,,,,,,,,,,"936,801"
102 (2013),102/03,2013/3,香港,"149,360",,,,,,,,,,,,,"787,330"
102 (2013),102/04,2013/4,香港,"180,319",,,,,,,,,,,,,"874,162"
102 (2013),102/05,2013/5,香港,"146,183",,,,,,,,,,,,,"821,421"
102 (2013),102/06,2013/6,香港,"174,775",,,,,,,,,,,,,"963,442"
102 (2013),102/07,2013/7,香港,"190,939",,,,,,,,,,,,,"1,048,416"
102 (2013),102/08,2013/8,香港,"184,125",,,,,,,,,,,,,"983,398"
102 (2013),102/09,2013/9,香港,"166,244",,,,,,,,,,,,,"931,737"
102 (2013),102/10,2013/10,香港,"183,024",,,,,,,,,,,,,"960,508"
102 (2013),102/11,2013/11,香港,"151,802",,,,,,,,,,,,,"822,892"
102 (2013),102/12,2013/12,香港,"158,075",,,,,,,,,,,,,"767,395"
103 (2014),103/01,2014/1,香港,"151,349",,,,,,,,,,,,,"823,718"
103 (2014),103/02,2014/2,香港,"189,882",,,,,,,,,,,,,"923,659"
103 (2014),103/03,2014/3,香港,"148,230",,,,,,,,,,,,,"838,941"
103 (2014),103/04,2014/4,香港,"158,636",,,,,,,,,,,,,"951,316"
103 (2014),103/05,2014/5,香港,"170,816",,,,,,,,,,,,,"1,009,120"
103 (2014),103/06,2014/6,香港,"190,489",,,,,,,,,,,,,"1,049,481"
103 (2014),103/07,2014/7,香港,"198,986",,,,,,,,,,,,,"1,123,208"
103 (2014),103/08,2014/8,香港,"185,035",,,,,,,,,,,,,"1,024,841"
103 (2014),103/09,2014/9,香港,"160,392",,,,,,,,,,,,,"924,232"
103 (2014),103/10,2014/10,香港,"173,328",,,,,,,,,,,,,"1,013,677"
103 (2014),103/11,2014/11,香港,"137,070",,,,,,,,,,,,,"857,401"
103 (2014),103/12,2014/12,香港,"153,916",,,,,,,,,,,,,"877,875"
104 (2015),104/01,2015/1,香港,"150,728",,,,,,,,,,,,,"885,316"
