Year,1,2,3,4,5,6,7,8,9,10
1997,香港,日本,美國,澳門,泰國,新加坡,馬來西亞,印尼,菲律賓,越南
1998,香港,日本,美國,澳門,泰國,新加坡,馬來西亞,菲律賓,印尼,越南
1999,香港,澳門,日本,美國,泰國,馬來西亞,新加坡,加拿大,越南,印尼
2000,香港,澳門,日本,美國,泰國,馬來西亞,新加坡,印尼,越南,加拿大
2001,香港,澳門,日本,泰國,美國,馬來西亞,印尼,新加坡,越南,加拿大
2002,香港,澳門,日本,美國,泰國,印尼,越南,新加坡,馬來西亞,加拿大
2003,香港,澳門,日本,美國,泰國,印尼,越南,韓國,新加坡,馬來西亞
2004,香港,日本,澳門,美國,泰國,韓國,印尼,越南,馬來西亞,新加坡
2005,香港,日本,澳門,美國,韓國,泰國,越南,印尼,新加坡,馬來西亞
2006,香港,澳門,日本,美國,韓國,泰國,越南,新加坡,印尼,馬來西亞
2007,香港,日本,澳門,美國,韓國,泰國,越南,印尼,新加坡,馬來西亞
2008,香港,日本,澳門,美國,韓國,泰國,越南,中國大陸,印尼,新加坡
2009,香港,中國大陸,日本,澳門,美國,韓國,越南,泰國,印尼,馬來西亞
2010,中國大陸,香港,日本,澳門,美國,韓國,泰國,越南,馬來西亞,印尼
2011,中國大陸,香港,日本,澳門,韓國,美國,泰國,越南,印尼,馬來西亞
2012,中國大陸,香港,日本,韓國,澳門,美國,越南,泰國,新加坡,菲律賓
2013,中國大陸,日本,香港,韓國,澳門,泰國,美國,越南,新加坡,馬來西亞
2014,中國大陸,日本,香港,韓國,澳門,美國,泰國,越南,新加坡,馬來西亞
2015,日本,中國大陸,香港,泰國,澳門,韓國,美國,越南,新加坡,馬來西亞
2016,日本,中國大陸,香港,韓國,澳門,泰國,美國,越南,新加坡,馬來西亞
