Year,Location,number of visitors
1997,香港,1948356
1997,日本,651597
1997,美國,588916
1997,澳門,498090
1997,泰國,343182
1997,新加坡,284381
1997,馬來西亞,245599
1997,印尼,202095
1997,菲律賓,200097
1997,越南,146627
1998,香港,1746424
1998,日本,674089
1998,美國,577178
1998,澳門,574973
1998,泰國,362346
1998,新加坡,261125
1998,馬來西亞,253181
1998,菲律賓,188163
1998,印尼,141740
1998,越南,140782
1999,香港,1958946
1999,澳門,787750
1999,日本,720903
1999,美國,563991
1999,泰國,424926
1999,馬來西亞,254225
1999,新加坡,242691
1999,加拿大,169897
1999,越南,169201
1999,印尼,150430
2000,香港,2311095
2000,澳門,1032638
2000,日本,811388
2000,美國,651134
2000,泰國,557184
2000,馬來西亞,299664
2000,新加坡,234339
2000,印尼,221286
2000,越南,199470
2000,加拿大,181409
2001,香港,2320843
2001,澳門,1174575
2001,日本,765247
2001,泰國,558173
2001,美國,532010
2001,馬來西亞,248552
2001,印尼,233636
2001,新加坡,210982
2001,越南,191948
2001,加拿大,141893
2002,香港,2418872
2002,澳門,1269840
2002,日本,797460
2002,美國,532180
2002,泰國,530945
2002,印尼,259610
2002,越南,225733
2002,新加坡,190455
2002,馬來西亞,186791
2002,加拿大,132605
2003,香港,1869069
2003,澳門,837936
2003,日本,731330
2003,美國,479264
2003,泰國,392414
2003,印尼,251284
2003,越南,222487
2003,韓國,179893
2003,新加坡,125491
2003,馬來西亞,121267
2004,香港,2559705
2004,日本,1051954
2004,澳門,1038006
2004,美國,536217
2004,泰國,422189
2004,韓國,298325
2004,印尼,283757
2004,越南,266115
2004,馬來西亞,180883
2004,新加坡,160088
2005,香港,2807027
2005,日本,1180406
2005,澳門,1163822
2005,美國,578998
2005,韓國,368206
2005,泰國,268231
2005,越南,234009
2005,印尼,185348
2005,新加坡,184926
2005,馬來西亞,161296
2006,香港,2993317
2006,澳門,1232232
2006,日本,1214058
2006,美國,593794
2006,韓國,396705
2006,泰國,379275
2006,越南,242852
2006,新加坡,204834
2006,印尼,186165
2006,馬來西亞,181911
2007,香港,3030971
2007,日本,1280853
2007,澳門,1196110
2007,美國,587872
2007,韓國,457095
2007,泰國,353439
2007,越南,272020
2007,印尼,201358
2007,新加坡,189835
2007,馬來西亞,187788
2008,香港,2851170
2008,日本,1309847
2008,澳門,926593
2008,美國,515590
2008,韓國,363122
2008,泰國,332997
2008,越南,285263
2008,中國大陸,188744
2008,印尼,186117
2008,新加坡,167479
2009,香港,2261001
2009,中國大陸,1516087
2009,日本,1113857
2009,澳門,739263
2009,美國,415465
2009,韓國,388806
2009,越南,264819
2009,泰國,258449
2009,印尼,173429
2009,馬來西亞,153695
2010,中國大陸,2424242
2010,香港,2308633
2010,日本,1377957
2010,澳門,667910
2010,美國,436233
2010,韓國,406290
2010,泰國,350074
2010,越南,313987
2010,馬來西亞,212509
2010,印尼,179845
2011,中國大陸,2846572
2011,香港,2156760
2011,日本,1136394
2011,澳門,587633
2011,韓國,423266
2011,美國,404848
2011,泰國,382635
2011,越南,318587
2011,印尼,212826
2011,馬來西亞,209164
2012,中國大陸,3139055
2012,香港,2021212
2012,日本,1560300
2012,韓國,532729
2012,澳門,527050
2012,美國,469568
2012,越南,341511
2012,泰國,306746
2012,新加坡,241893
2012,菲律賓,211385
2013,中國大陸,3072327
2013,日本,2346007
2013,香港,2038732
2013,韓國,518528
2013,澳門,514701
2013,泰國,507616
2013,美國,381374
2013,越南,361957
2013,新加坡,297588
2013,馬來西亞,226919
2014,中國大陸,3267238
2014,日本,2971846
2014,香港,2018129
2014,韓國,626694
2014,澳門,493188
2014,美國,425138
2014,泰國,419133
2014,越南,339107
2014,新加坡,283925
2014,馬來西亞,198902
2015,日本,3797879
2015,中國大陸,3403920
2015,香港,2008153
2015,泰國,599523
2015,澳門,527144
2015,韓國,500100
2015,美國,477156
2015,越南,409013
2015,新加坡,318516
2015,馬來西亞,201631
2016,日本,4295240
2016,中國大陸,3685477
2016,香港,1902647
2016,韓國,808420
2016,澳門,598850
2016,泰國,532787
2016,美國,527099
2016,越南,465944
2016,新加坡,319915
2016,馬來西亞,245298
