MONTH,NTD_JPY,NTD_KRW
9101,3.79,37.6
9102,3.81,37.64
9103,3.75,37.77
9104,3.75,37.74
9105,3.67,36.61
9106,3.64,35.96
9107,3.53,35.47
9108,3.5,35.25
9109,3.48,34.99
9110,3.54,35.5
9111,3.53,34.9
9112,3.51,34.65
9201,3.43,34.05
9202,3.43,34.27
9203,3.41,35.62
9204,3.44,35.33
9205,3.38,34.56
9206,3.42,34.47
9207,3.45,34.3
9208,3.46,34.32
9209,3.39,34.24
9210,3.23,34.46
9211,3.21,34.83
9212,3.17,35
9301,3.16,35.09
9302,3.21,35.1
9303,3.26,34.98
9304,3.25,34.9
9305,3.36,35.11
9306,3.25,34.44
9307,3.23,34.17
9308,3.23,33.94
9309,3.24,33.84
9310,3.22,33.78
9311,3.2,33.15
9312,3.22,32.61
9401,3.25,32.5
9402,3.33,32.38
9403,3.38,32.35
9404,3.41,32.03
9405,3.42,32.02
9406,3.46,32.27
9407,3.51,32.5
9408,3.45,31.81
9409,3.37,31.27
9410,3.43,31.24
9411,3.53,30.99
9412,3.56,30.72
9501,3.6,30.64
9502,3.64,29.97
9503,3.61,30.02
9504,3.62,29.49
9505,3.51,29.63
9506,3.53,29.41
9507,3.54,29.13
9508,3.53,29.31
9509,3.56,28.95
9510,3.57,28.74
9511,3.58,28.5
9512,3.6,28.44
9601,3.68,28.59
9602,3.65,28.43
9603,3.55,28.57
9604,3.59,28.09
9605,3.63,27.88
9606,3.72,28.16
9607,3.71,28.01
9608,3.54,28.37
9609,3.49,28.22
9610,3.56,28.1
9611,3.44,28.4
9612,3.46,28.71
9701,3.33,29.12
9702,3.39,29.87
9703,3.29,32.1
9704,3.38,32.53
9705,3.4,33.93
9706,3.52,33.96
9707,3.51,33.49
9708,3.5,33.57
9709,3.34,35.57
9710,3.07,40.59
9711,2.92,42.3
9712,2.76,41.3
9801,2.71,40.65
9802,2.7,42.02
9803,2.86,42.32
9804,2.94,39.66
9805,2.93,38.16
9806,2.94,38.49
9807,2.87,38.34
9808,2.88,37.7
9809,2.81,37.28
9810,2.79,36.34
9811,2.76,35.97
9812,2.77,36.13
9901,2.86,35.7
9902,2.81,36.04
9903,2.84,35.64
9904,2.96,35.4
9905,2.87,36.56
9906,2.81,37.53
9907,2.73,37.45
9908,2.68,36.94
9909,2.66,36.59
9910,2.64,36.25
9911,2.69,36.74
9912,2.73,37.52
10001,2.79,37.8
10002,2.81,38.09
10003,2.77,37.94
10004,2.87,37.4
10005,2.82,37.62
10006,2.79,37.44
10007,2.75,36.68
10008,2.66,37.04
10009,2.58,37.82
10010,2.54,37.99
10011,2.57,37.5
10012,2.57,37.93
10101,2.56,38.08
10102,2.65,37.98
10103,2.79,38.14
10104,2.76,38.48
10105,2.7,39.19
10106,2.65,38.85
10107,2.63,38.07
10108,2.62,37.75
10109,2.64,37.95
10110,2.69,37.69
10111,2.77,37.25
10112,2.87,36.97
10201,3.06,36.54
10202,3.14,36.61
10203,3.18,37.04
10204,3.27,37.52
10205,3.38,37.21
10206,3.23,37.77
10207,3.32,37.5
10208,3.26,37.17
10209,3.33,36.42
10210,3.32,36.14
10211,3.37,35.92
10212,3.47,35.42
10301,3.43,35.22
10302,3.36,35.26
10303,3.36,35.17
10304,3.39,34.45
10305,3.37,33.93
10306,3.4,33.91
10307,3.43,34.02
10308,3.43,34.11
10309,3.56,34.35
10310,3.55,34.86
10311,3.77,35.63
10312,3.79,35.09
10401,3.73,34.35
10402,3.76,34.8
10403,3.82,35.31
10404,3.84,34.88
10405,3.93,35.58
10406,3.98,35.75
10407,3.93,36.57
10408,3.8,36.43
10409,3.66,36.03
10410,3.67,34.98
10411,3.74,35.16
10412,3.69,35.55
10501,3.52,35.78
10502,3.43,36.38
10503,3.44,35.98
10504,3.4,35.44
10505,3.35,36.06
10506,3.26,36.06
10507,3.24,35.54
10508,3.21,35.21
10509,3.24,35.16
10510,3.29,35.66
10511,3.39,36.52
10512,3.62,36.96
10601,3.62,37.24
10602,3.66,37.01
10603,3.69,36.99
10604,3.62,37.3
10605,3.72,37.3
10606,3.66,37.39
10607,3.69,37.23
10608,3.63,37.39
10609,3.67,37.58
10610,3.73,37.33
10611,3.75,36.62
