Year,Location,Count
2e3,日本,811388
2e3,美國,651134
2e3,歐洲地區,272449
2e3,韓國,108831
2001,日本,765247
2001,美國,532010
2001,歐洲地區,246659
2001,韓國,115623
2002,日本,797460
2002,美國,532180
2002,歐洲地區,244541
2002,韓國,120208
2003,日本,731330
2003,美國,479264
2003,歐洲地區,212216
2003,韓國,179893
2004,日本,1051954
2004,美國,536217
2004,歐洲地區,260345
2004,韓國,298325
2005,日本,1180406
2005,美國,578998
2005,歐洲地區,281022
2005,韓國,368206
2006,日本,1214058
2006,美國,593794
2006,歐洲地區,258263
2006,韓國,396705
2007,日本,1280853
2007,美國,587872
2007,歐洲地區,244497
2007,韓國,457095
2008,日本,1309847
2008,美國,515590
2008,歐洲地區,225023
2008,韓國,363122
2009,日本,1113857
2009,美國,415465
2009,歐洲地區,236782
2009,韓國,388806
2010,日本,1377957
2010,美國,436233
2010,歐洲地區,172405
2010,韓國,406290
2011,日本,1136394
2011,美國,404848
2011,歐洲地區,239062
2011,韓國,423266
2012,日本,1560300
2012,美國,469568
2012,歐洲地區,240760
2012,韓國,532729
2013,日本,2346007
2013,美國,381374
2013,歐洲地區,119800
2013,韓國,518528
2014,日本,2971846
2014,美國,425138
2014,歐洲地區,133677
2014,韓國,626694
2015,日本,3797879
2015,美國,477156
2015,歐洲地區,161529
2015,韓國,500100
