year,-12,13-19,20-29,30-39,40-49,50-59,60-
1994,39274,27188,121119,170243,131063,87722,100335
1995,28173,19966,89368,128100,103022,59049,70887
1996,37114,23747,96474,143350,126387,74448,98626
1997,43229,28681,104149,153096,137697,79040,105705
1998,42647,28409,119523,163471,140997,79773,99269
1999,44477,31077,129530,172489,148458,86401,108471
2e3,50487,32861,150544,198232,166934,96987,115343
2001,45720,28306,143461,188244,154108,97111,108297
2002,50095,27795,150629,195319,157661,104649,111312
2003,47277,22147,136528,182984,144412,100619,97363
2004,68030,34735,191686,256770,206249,153069,141415
2005,79152,43300,233246,287888,220537,171680,144603
2006,88008,48032,224454,298682,229541,182340,143001
2007,89444,53689,234652,311004,238894,199441,153729
2008,85888,54201,240835,317540,239497,211267,160619
2009,72229,47896,192273,262727,207488,189561,141683
2010,93046,62632,228211,338543,257667,224662,173196
2011,74876,50824,183718,283971,221762,185605,135638
2012,100798,68874,240789,396913,295270,254434,203222
2013,166547,114948,378437,597575,418801,360735,308964
2014,217428,138599,491239,760389,525107,451443,387641
2015,300012,183722,634057,966968,674452,555082,483586
2016,368475,194496,739221,1076673,768012,609087,539276
