year,-12,13-19,20-29,30-39,40-49,50-59,60-
1994,6112,4367,23142,35090,27449,15382,11311
1995,5130,3485,18256,29288,24073,12127,8600
1996,4567,2941,16215,27340,23400,10920,8219
1997,4676,3201,16013,26476,22410,9116,6352
1998,4156,2674,16501,27395,21789,8735,5793
1999,4323,2696,16176,27681,22461,9518,6470
2e3,5571,3163,20920,33089,26694,11569,7825
2001,5742,3400,24140,34715,25916,12820,8890
2002,5701,3484,27322,35385,26108,13305,8903
2003,8909,5410,34871,46794,38727,25154,20028
2004,18586,10660,55851,75086,61578,42538,34026
2005,23099,13977,72371,93353,75735,52724,36947
2006,22420,15095,67651,98020,86150,63695,43674
2007,25585,17016,68670,111870,103098,78685,52171
2008,22793,14184,65725,95793,75661,55026,33940
2009,25868,17279,78152,101086,73147,55703,37571
2010,25352,20083,94245,112584,73506,48776,31744
2011,23834,22523,106432,123914,72597,45227,28739
2012,30936,30287,127501,151140,91883,59964,41018
2013,29706,30487,119028,145267,89337,60537,44166
2014,33551,35637,148893,185206,110601,68019,44787
2015,24416,21925,108172,148027,92221,62018,43321
2016,49993,51069,177825,213388,154792,95959,65394
