Year,Location,Count
1980,香港,63812
1981,香港,72418
1982,香港,81558
1983,香港,98754
1984,香港,109075
1985,香港,118405
1986,香港,121427
1987,香港,195501
1988,香港,621846
1989,香港,810977
1990,香港,1245764
1991,香港,1368295
1992,香港,1747404
1993,香港,1934831
1994,香港,1745182
1995,香港,1909593
1996,香港,2135092
1996,澳門,0
1997,香港,1948356
1997,澳門,498090
1998,香港,1746424
1998,澳門,574973
1999,香港,1958946
1999,澳門,787750
2e3,香港,2311095
2e3,澳門,1032638
2001,香港,2320843
2001,澳門,1174575
2002,香港,2418872
2002,澳門,1269840
2003,香港,1869069
2003,澳門,837936
2004,香港,2559705
2004,澳門,1038006
2005,香港,2807027
2005,澳門,1163822
2006,香港,2993317
2006,澳門,1232232
2007,香港,3030971
2007,澳門,1196110
2008,中國大陸,188744
2008,香港,2851170
2008,澳門,926593
2009,中國大陸,1516087
2009,香港,2261001
2009,澳門,739263
2010,中國大陸,2424242
2010,香港,2308633
2010,澳門,667910
2011,中國大陸,2846572
2011,香港,2156760
2011,澳門,587633
2012,中國大陸,3139055
2012,香港,2021212
2012,澳門,527050
2013,中國大陸,3072327
2013,香港,2038732
2013,澳門,514701
2014,中國大陸,3267238
2014,香港,2018129
2014,澳門,493188
2015,中國大陸,3403920
2015,香港,2008153
2015,澳門,527144
1980,亞洲地區,402244
1981,亞洲地區,480673
1982,亞洲地區,522434
1983,亞洲地區,545211
1984,亞洲地區,594752
1985,亞洲地區,649584
1986,亞洲地區,627134
1987,亞洲地區,849516
1988,亞洲地區,1374976
1989,亞洲地區,1915893
1990,亞洲地區,2669545
1991,亞洲地區,3039090
1992,亞洲地區,3794401
1993,亞洲地區,4089642
1994,亞洲地區,3962965
1995,亞洲地區,4102884
1996,亞洲地區,4378294
1997,亞洲地區,4622845
1998,亞洲地區,4457945
1999,亞洲地區,4968220
2e3,亞洲地區,5853619
2001,亞洲地區,5959082
2002,亞洲地區,6169631
2003,亞洲地區,4852745
2004,亞洲地區,6428530
2005,亞洲地區,6740421
2006,亞洲地區,7248944
2007,亞洲地區,7442577
2008,亞洲地區,6973043
2009,亞洲地區,7179431
2010,亞洲地區,8642677
2011,亞洲地區,8762214
2012,亞洲地區,9367597
2013,亞洲地區,10388937
2014,亞洲地區,11095664
2015,亞洲地區,12353288
1980,總人數,484901
1981,總人數,575537
1982,總人數,640669
1983,總人數,674578
1984,總人數,750404
1985,總人數,846789
1986,總人數,812928
1987,總人數,1058410
1988,總人數,1601992
1989,總人數,2107813
1990,總人數,2942316
1991,總人數,3366076
1992,總人數,4214734
1993,總人數,4654436
1994,總人數,4744434
1995,總人數,5188658
1996,總人數,5713535
1997,總人數,6161932
1998,總人數,5912383
1999,總人數,6558663
2e3,總人數,7328784
2001,總人數,7152877
2002,總人數,7319466
2003,總人數,5923072
2004,總人數,7780652
2005,總人數,8208125
2006,總人數,8671375
2007,總人數,8963712
2008,總人數,8469132
2009,總人數,8143989
2010,總人數,9417468
2011,總人數,9588104
2012,總人數,10240597
2013,總人數,11153129
2014,總人數,11906904
2015,總人數,13306640
