YMD,Cases,Country
2015-01-01,225116,Japan
2015-02-01,283635,Japan
2015-03-01,285122,Japan
2015-04-01,346365,Japan
2015-05-01,352263,Japan
2015-06-01,356669,Japan
2015-07-01,374662,Japan
2015-08-01,326325,Japan
2015-09-01,313415,Japan
2015-10-01,351495,Japan
2015-11-01,307177,Japan
2015-12-01,275635,Japan
2015-01-01,48024,Korea
2015-02-01,53315,Korea
2015-03-01,51365,Korea
2015-04-01,57222,Korea
2015-05-01,53704,Korea
2015-06-01,14896,Korea
2015-07-01,10899,Korea
2015-08-01,25162,Korea
2015-09-01,45069,Korea
2015-10-01,47012,Korea
2015-11-01,46032,Korea
2015-12-01,47400,Korea
